clouds,humidity,latitude,temperature,wind
92,83,58.27,15.85,7.18
0,72,55.49,12.2,8.95
0,40,19.43,84.65,4.16
40,93,35.17,53.6,3.36
0,31,-40.81,73.27,10.42
20,88,-0.72,82.4,4.7
90,93,-2.43,59.0,4.7
75,72,37.77,59.0,6.93
90,88,4.94,77.0,8.05
40,79,-3.35,84.2,10.29
0,100,46.54,9.59,11.99
20,93,51.95,42.8,18.34
0,81,38.96,52.72,11.41
20,93,30.42,51.8,1.48
40,68,-29.95,71.6,9.17
88,92,58.35,28.4,12.75
88,99,-28.29,67.1,2.48
40,29,39.15,50.0,14.99
48,100,-8.13,77.77,5.39
56,37,37.17,74.84,20.6
12,71,40.55,16.48,2.04
56,100,-23.78,76.96,12.66
75,78,54.51,12.2,8.95
90,93,41.47,56.89,13.87
12,85,7.53,79.39,4.61
90,73,-28.0,75.2,10.29
92,97,7.12,55.81,2.37
20,94,6.33,78.8,6.4
0,87,32.08,57.65,2.24
0,100,-16.23,82.99,8.19
5,66,16.86,84.2,14.99
0,63,39.29,8.51,2.51
75,78,34.88,70.7,11.41
64,64,71.97,-13.99,13.24
0,28,-27.7,71.56,9.1
0,29,18.45,88.12,3.06
0,63,10.52,65.35,3.18
44,78,-12.18,76.37,4.07
8,53,-20.37,60.13,3.06
90,87,41.76,46.4,12.75
64,100,-22.82,77.14,6.42
44,100,-34.05,67.69,4.52
76,100,12.78,77.99,4.97
80,80,58.61,15.76,5.19
90,85,45.55,20.01,17.22
90,93,54.7,44.6,3.36
88,74,46.12,37.27,6.08
56,98,-11.65,64.31,3.06
0,48,45.25,-3.28,2.39
92,100,-46.13,52.21,12.46
0,100,45.05,13.96,13.24
0,67,47.92,-23.81,2.24
0,47,12.41,79.07,9.66
48,93,35.3,46.04,6.08
90,93,41.28,45.5,13.87
80,51,-19.25,77.27,9.78
0,78,5.66,82.4,12.75
36,59,10.12,80.83,9.1
20,74,-32.03,80.6,10.29
56,93,63.05,33.85,24.76
48,100,45.41,24.17,26.33
90,83,57.93,30.09,6.93
68,100,-29.34,71.2,9.66
68,90,54.43,19.36,9.78
75,53,34.5,74.21,11.41
90,86,37.06,34.68,12.75
68,62,68.06,-9.0,3.06
0,83,-20.31,78.8,13.87
0,22,27.87,64.4,9.17
32,96,-1.82,75.97,3.51
